id,name,url,note
0999747,"PHI 380 Week 5 Lecture 1 Existentialism","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-97345e96-25fb-4ad9-8ea6-ff03337ff256_processed.mp4",
0999742,"Week 3 Intro Video","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-e05080d5-1045-4b48-a3c4-b9e58ce27e1c_processed.mp4",
0999740,"Geometric and Kinematic Constraints","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-a70dc715-f09c-4e55-ba00-eabf24d0a494_processed.mp4",
0999729,"Int Alg April 13","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-7ca4780b-8e5d-4432-8af2-e35e05f35e07_processed.mp4",
0999727,"April 14 Discussion","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-54aff8fd-542c-475b-b9d2-36298fc004e7_processed.mp4",
0999724,"Modes of Interpretation Part 1","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-619057a3-f22e-47a5-9598-3bc4bdd6de2e_processed.mp4",
0999723,"GMT20200409-215603_D135-Class_1920x1024","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-83b39b5a-210d-4d8d-8292-0571564babaa_processed.mp4",
0999719,"Warp speed teletherapy","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-64953f85-798a-4b6f-9598-f30e7616da8f_processed.mp4",
0999718,"Integumentary Review Zoom 4 14 20","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-5f9b18eb-6d0b-4fbb-b790-705b31afc4b1_processed.mp4",
0999716,"lectHIST133A-4:14","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-4f85c193-ee77-4a90-af2c-aba041eae1ee_processed.mp4",
0999714,"Internship update + invitation to meet!","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-6d11f8fe-b691-4467-823a-c6b07cbf9fee_processed.mp4",
0999702,"Idempotent_Matrices_Python_Code_Quick_Explanation","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-0a4c5fb0-0c66-493f-a26f-9587005b791d_processed.mp4",
